対戦相手,得点,打数,安打,打点,四球,死球,三振,攻撃回
中　日,3,31,5,3,4,0,7,9.0
中　日,2,28,5,2,2,1,8,8.0
中　日,3,28,7,3,3,0,5,8.0
横浜DeNA,9,39,14,9,4,0,7,9.0
横浜DeNA,0,33,6,0,1,0,10,8.0
横浜DeNA,0,29,5,0,0,0,10,8.0
広島東洋,2,37,11,2,4,0,9,8.0
広島東洋,3,36,10,2,1,0,6,8.0
広島東洋,2,34,8,2,0,0,7,8.0
阪　神,7,34,11,7,2,1,5,8.0
阪　神,1,33,2,1,0,0,9,10.0
阪　神,1,34,12,1,1,0,8,9.0
中　日,2,30,4,2,3,0,6,8.0
中　日,6,34,6,5,5,1,12,9.0
中　日,5,35,9,5,3,0,6,8.0
横浜DeNA,0,28,4,0,0,0,9,9.0
横浜DeNA,5,30,9,5,1,0,8,8.0
東京ヤクルト,0,26,5,0,3,0,6,8.0
東京ヤクルト,4,36,9,4,4,2,7,9.0
東京ヤクルト,7,36,11,7,0,0,9,9.0
阪　神,8,39,13,8,2,0,9,9.0
阪　神,0,29,2,0,0,0,8,8.0
広島東洋,5,30,8,5,5,0,4,8.0
広島東洋,4,36,9,4,5,0,8,8.666666666666666
広島東洋,4,35,10,4,3,0,12,9.0
東京ヤクルト,5,36,11,5,3,0,11,9.0
東京ヤクルト,8,32,11,8,2,1,5,8.0
東京ヤクルト,8,38,11,8,2,2,6,8.666666666666666
中　日,3,35,10,3,4,0,9,9.0
中　日,1,32,6,1,0,0,7,9.0
中　日,1,30,3,1,2,1,9,9.0
横浜DeNA,9,42,16,9,0,0,12,9.0
横浜DeNA,4,36,12,4,1,1,8,9.0
広島東洋,4,40,10,4,3,0,8,10.0
広島東洋,5,43,12,5,9,0,14,11.666666666666666
広島東洋,2,28,3,2,5,0,6,9.0
東京ヤクルト,9,41,17,9,2,0,7,9.0
東京ヤクルト,5,34,6,5,2,3,5,9.0
東京ヤクルト,6,37,10,5,4,0,5,9.0
中　日,6,33,8,6,2,0,7,8.0
中　日,5,32,9,5,5,0,7,8.0
横浜DeNA,3,34,6,3,2,0,6,9.0
横浜DeNA,1,27,6,1,3,0,9,8.0
横浜DeNA,5,35,13,5,0,0,7,8.0
阪　神,1,33,7,1,2,0,14,9.0
阪　神,2,33,7,2,2,0,9,9.0
阪　神,1,31,5,1,1,0,11,9.0
千葉ロッテ,1,32,5,1,1,0,10,9.0
千葉ロッテ,7,35,8,7,4,0,8,9.0
千葉ロッテ,3,38,12,3,3,0,7,9.0
北海道日本ハム,2,37,11,2,1,0,5,9.0
北海道日本ハム,3,38,12,3,2,0,7,9.0
北海道日本ハム,3,35,10,3,1,0,10,9.0
オリックス,1,33,5,1,0,0,9,9.0
オリックス,10,42,16,9,4,0,4,9.0
オリックス,6,40,11,6,3,0,8,10.0
福岡ソフトバンク,1,31,5,1,2,0,11,9.0
福岡ソフトバンク,10,40,13,9,2,2,10,9.0
福岡ソフトバンク,4,32,7,4,3,1,9,9.0
埼玉西武,3,29,8,3,4,0,11,8.0
埼玉西武,7,35,15,7,4,0,5,8.0
埼玉西武,3,32,6,3,4,0,5,9.333333333333334
東北楽天,6,34,13,6,3,0,2,8.0
東北楽天,1,33,7,1,3,0,8,9.0
東北楽天,1,35,9,1,2,0,7,9.0
広島東洋,5,34,9,5,2,0,9,9.0
広島東洋,1,33,6,1,0,0,10,9.0
広島東洋,2,35,10,2,0,0,7,9.0
東京ヤクルト,0,20,3,0,0,1,4,6.0
阪　神,2,33,5,2,2,0,4,9.666666666666666
阪　神,0,30,4,0,2,0,6,9.0
阪　神,2,37,5,2,4,1,5,12.0
中　日,5,35,9,5,2,0,7,9.0
中　日,7,48,14,7,1,3,9,12.0
横浜DeNA,1,34,7,1,0,0,17,9.0
横浜DeNA,6,35,13,5,1,1,5,8.0
横浜DeNA,0,38,3,0,4,0,7,12.0
広島東洋,4,30,7,4,2,0,11,8.0
広島東洋,0,30,8,0,1,0,6,9.0
広島東洋,1,37,6,1,5,2,6,11.0
東京ヤクルト,1,30,3,1,1,0,10,9.0
東京ヤクルト,3,33,8,3,2,0,8,9.0
東京ヤクルト,10,42,14,10,6,0,8,10.0
横浜DeNA,4,35,8,4,0,0,5,9.0
横浜DeNA,4,35,10,4,3,0,12,9.0
阪　神,2,32,9,2,4,0,4,9.0
阪　神,5,33,8,5,1,1,9,9.0
阪　神,9,38,15,9,7,0,8,9.0
中　日,11,37,15,11,5,1,6,8.0
中　日,6,32,11,6,2,1,8,8.0
中　日,4,26,6,4,7,1,4,8.0
東京ヤクルト,0,29,4,0,1,0,4,9.0
東京ヤクルト,9,36,12,9,2,0,4,8.0
東京ヤクルト,2,32,9,2,1,0,10,8.0
広島東洋,3,36,10,2,4,0,4,9.0
広島東洋,3,32,6,3,0,0,8,9.0
広島東洋,13,41,18,12,5,0,4,9.0
阪　神,6,34,9,6,5,0,11,9.0
阪　神,2,37,6,2,2,0,15,11.0
阪　神,2,36,9,1,2,0,8,9.0
横浜DeNA,2,35,9,2,1,0,6,9.0
横浜DeNA,5,28,6,5,1,1,7,8.0
横浜DeNA,8,39,15,8,3,2,11,8.0
中　日,1,30,7,1,3,0,7,9.0
中　日,2,31,8,2,4,0,7,9.0
広島東洋,5,40,14,5,2,0,8,9.0
広島東洋,3,34,7,3,2,0,7,9.0
広島東洋,5,37,13,5,0,0,6,9.0
東京ヤクルト,8,37,14,7,4,0,4,8.0
東京ヤクルト,4,40,10,3,4,1,9,10.666666666666666
東京ヤクルト,5,27,6,5,4,0,3,8.0
阪　神,1,32,6,0,2,1,11,9.0
阪　神,6,33,9,6,4,1,5,9.0
阪　神,4,31,7,4,2,0,4,8.0
広島東洋,4,36,11,4,2,0,10,9.0
広島東洋,1,33,7,1,4,0,6,9.0
広島東洋,2,28,7,2,1,1,4,8.0
横浜DeNA,3,35,8,3,1,0,10,9.0
横浜DeNA,4,36,11,4,0,1,7,9.0
横浜DeNA,8,41,14,8,4,0,13,9.0
東京ヤクルト,4,33,10,4,0,0,9,9.0
東京ヤクルト,2,34,9,2,4,1,10,9.0
東京ヤクルト,5,31,6,5,2,0,7,9.0
中　日,0,38,5,0,8,0,13,12.0
中　日,5,30,9,5,2,0,9,8.0
中　日,2,28,5,2,2,0,8,8.0
阪　神,0,26,2,0,2,0,6,9.0
阪　神,0,30,6,0,1,0,4,9.0
阪　神,3,34,7,3,1,0,7,9.0
中　日,7,33,12,7,5,0,6,9.0
中　日,0,29,4,0,5,0,13,9.0
東京ヤクルト,3,31,7,3,5,0,8,8.666666666666666
東京ヤクルト,4,41,10,4,5,0,12,11.333333333333334
阪　神,3,33,9,3,1,0,7,9.0
阪　神,5,33,6,5,4,0,11,9.0
広島東洋,3,32,8,3,4,0,4,9.0
横浜DeNA,6,32,9,6,4,0,11,9.0
横浜DeNA,0,30,4,0,4,0,13,9.0
横浜DeNA,0,31,5,0,2,0,8,9.0
中　日,1,31,5,1,5,0,4,9.0
東京ヤクルト,1,29,7,1,4,0,5,8.0
中　日,3,36,10,3,3,0,9,9.0
横浜DeNA,1,30,8,1,0,0,6,8.0
